t_index 	term                	df 
1       	aan                 	1  
2       	aaron               	2  
3       	ab                  	1  
4       	aback               	1  
5       	abahd               	1  
6       	abandon             	39 
7       	abat                	1  
8       	abc                 	49 
9       	abcnew              	3  
10      	abdallah            	2  
11      	abdel               	3  
12      	abdomin             	2  
13      	abduct              	2  
14      	abdul               	16 
15      	abdullah            	40 
16      	abdurahman          	1  
17      	aberr               	1  
18      	abhad               	1  
19      	abhiyan             	1  
20      	abhorr              	2  
21      	abid                	8  
22      	abidin              	4  
23      	abidjan             	36 
24      	abijan              	1  
25      	abil                	32 
26      	ablaz               	3  
27      	abnorm              	1  
28      	aboard              	93 
29      	abobo               	3  
30      	abolish             	4  
31      	abomin              	1  
32      	abort               	7  
33      	abou                	1  
34      	abound              	4  
35      	about               	1  
36      	abovo               	1  
37      	abraham             	10 
38      	abreast             	1  
39      	abrego              	1  
40      	abroad              	52 
41      	abrog               	2  
42      	abrupt              	1  
43      	abruptli            	4  
44      	abscam              	1  
45      	absenc              	6  
46      	absent              	4  
47      	absente             	7  
48      	absentia            	3  
49      	absolut             	43 
50      	absorb              	10 
51      	abstain             	1  
52      	abstent             	1  
53      	absurd              	2  
54      	abu                 	7  
55      	abund               	2  
56      	abus                	29 
57      	abuzaakouk          	1  
58      	abyan               	5  
59      	abyssinian          	1  
60      	ac                  	27 
61      	academ              	6  
62      	academi             	4  
63      	academia            	1  
64      	acced               	1  
65      	acceler             	4  
66      	accent              	2  
67      	accentu             	2  
68      	accept              	124
69      	access              	41 
70      	accid               	32 
71      	accident            	3  
72      	accommod            	11 
73      	accompani           	33 
74      	accomplic           	5  
75      	accomplish          	10 
76      	accord              	7  
77      	accordion           	1  
78      	account             	125
79      	accredit            	1  
80      	accumul             	2  
81      	accur               	14 
82      	accuraci            	1  
83      	accus               	131
84      	accustom            	2  
85      	acerb               	2  
86      	achiev              	32 
87      	acid                	2  
88      	acknowledg          	55 
89      	acolyt              	1  
90      	acosta              	1  
91      	acquaint            	1  
92      	acquiesc            	1  
93      	acquir              	5  
94      	acquisit            	1  
95      	acquit              	5  
96      	acquitt             	3  
97      	acr                 	1  
98      	acrimoni            	2  
99      	acrobat             	5  
100     	acronym             	1  
101     	act                 	61 
102     	action              	95 
103     	activ               	90 
104     	activist            	19 
105     	actor               	4  
106     	actress             	2  
107     	actual              	6  
108     	ad                  	48 
109     	adam                	8  
110     	adapt               	5  
111     	add                 	18 
112     	adden               	1  
113     	addit               	71 
114     	addition            	4  
115     	address             	64 
116     	adem                	1  
117     	aden                	169
118     	adequ               	7  
119     	adher               	4  
120     	adiksa              	1  
121     	adjac               	4  
122     	adjam               	2  
123     	adjoin              	3  
124     	adjourn             	3  
125     	adjust              	7  
126     	adlai               	1  
127     	adm                 	44 
128     	admen               	1  
129     	administ            	9  
130     	administr           	115
131     	admir               	38 
132     	admiralti           	1  
133     	admiringli          	1  
134     	admiss              	2  
135     	admit               	40 
136     	ado                 	2  
137     	adob                	1  
138     	adolesc             	2  
139     	adopt               	17 
140     	adorn               	1  
141     	adoubi              	1  
142     	adra                	1  
143     	adrain              	1  
144     	adrenalin           	1  
145     	adriat              	1  
146     	adrift              	4  
147     	adult               	10 
148     	advanc              	66 
149     	advani              	1  
150     	advantag            	21 
151     	adventist           	1  
152     	adventur            	2  
153     	advers              	2  
154     	adversari           	2  
155     	advertis            	12 
156     	advic               	6  
157     	advis               	84 
158     	advisor             	10 
159     	advisori            	2  
160     	advoc               	13 
161     	advocaci            	2  
162     	aegi                	5  
163     	aerial              	3  
164     	aeroflot            	1  
165     	af                  	1  
166     	affabl              	1  
167     	affair              	48 
168     	affect              	8  
169     	affection           	1  
170     	affili              	6  
171     	affirm              	6  
172     	afflict             	1  
173     	afford              	7  
174     	affront             	2  
175     	afghan              	17 
176     	afghanistan         	46 
177     	afi                 	2  
178     	afibia              	1  
179     	afield              	1  
180     	afir                	2  
181     	afl                 	2  
182     	afloat              	13 
183     	afoul               	1  
184     	afraid              	28 
185     	afredo              	1  
186     	africa              	65 
187     	african             	49 
188     	aft                 	3  
189     	aftehock            	1  
190     	aftermath           	14 
191     	afternoon           	64 
192     	aftershock          	43 
193     	afterward           	11 
194     	afundament          	1  
195     	ag                  	42 
196     	agarw               	1  
197     	agassi              	47 
198     	agbayani            	1  
199     	agenc               	117
200     	agenda              	14 
201     	agent               	83 
202     	ager                	8  
203     	agglomer            	1  
204     	aggrav              	12 
205     	aggress             	24 
206     	agil                	1  
207     	agit                	1  
208     	ago                 	207
209     	agon                	6  
210     	agoni               	3  
211     	agonizingli         	1  
212     	agre                	77 
213     	agreement           	49 
214     	agricultur          	15 
215     	agustin             	1  
216     	aha                 	1  
217     	ahead               	53 
218     	ahemdabad           	1  
219     	ahm                 	15 
220     	ahmad               	1  
221     	ahmadabad           	2  
222     	ahmar               	1  
223     	ahmedabad           	20 
224     	ahold               	1  
225     	ahren               	1  
226     	ai                  	1  
227     	aid                 	158
228     	aida                	2  
229     	ail                 	5  
230     	ailment             	1  
231     	aim                 	35 
232     	ainst               	1  
233     	air                 	175
234     	aircraft            	27 
235     	airdrop             	2  
236     	airfield            	1  
237     	airforc             	1  
238     	airlift             	4  
239     	airlin              	6  
240     	airlock             	1  
241     	airman              	1  
242     	airmen              	11 
243     	airplan             	7  
244     	airport             	49 
245     	airstrik            	3  
246     	airtim              	2  
247     	airwai              	3  
248     	airwav              	1  
249     	aisl                	3  
250     	aj                  	1  
251     	ajax                	1  
252     	ajnar               	3  
253     	ajw                 	1  
254     	akaka               	2  
255     	akan                	2  
256     	akin                	3  
257     	akishio             	1  
258     	akouedo             	1  
259     	ala                 	5  
260     	alabama             	5  
261     	alain               	1  
262     	alami               	1  
263     	alamoudi            	1  
264     	alan                	5  
265     	alarm               	19 
266     	alasan              	1  
267     	alaska              	3  
268     	alaskan             	1  
269     	alassan             	27 
270     	albani              	1  
271     	albania             	1  
272     	albanian            	18 
273     	albeit              	4  
274     	albert              	1  
275     	alberto             	66 
276     	albright            	47 
277     	album               	1  
278     	alce                	3  
279     	alcohol             	5  
280     	alehandr            	1  
281     	alejandro           	14 
282     	aleksa              	1  
283     	aleksandar          	6  
284     	aler                	1  
285     	alert               	62 
286     	alessio             	4  
287     	alex                	10 
288     	alexa               	2  
289     	alexand             	9  
290     	alexandria          	1  
291     	alexei              	1  
292     	alexeyev            	1  
293     	alexsand            	1  
294     	alfonso             	1  
295     	alfr                	2  
296     	alfredo             	1  
297     	algeria             	3  
298     	algerian            	5  
299     	ali                 	44 
300     	alia                	2  
301     	alibi               	1  
302     	alien               	3  
303     	alight              	1  
304     	align               	5  
305     	alija               	1  
306     	alik                	9  
307     	alisan              	2  
308     	alisha              	1  
309     	aliv                	84 
310     	allafrica           	1  
311     	allah               	1  
312     	allahabad           	2  
313     	allahbad            	1  
314     	allan               	1  
315     	alleg               	72 
316     	allegedli           	23 
317     	allegi              	1  
318     	allei               	2  
319     	allen               	22 
320     	allentown           	1  
321     	alleywai            	3  
322     	alli                	86 
323     	allianc             	10 
324     	alliz               	1  
325     	allot               	1  
326     	allow               	83 
327     	allud               	2  
328     	allus               	5  
329     	alma                	1  
330     	almagor             	1  
331     	alongsid            	39 
332     	alou                	1  
333     	alpha               	2  
334     	alphabet            	3  
335     	alpin               	1  
336     	alter               	8  
337     	altern              	20 
338     	altitud             	1  
339     	altogeth            	4  
340     	aluminum            	2  
341     	alun                	6  
342     	amad                	3  
343     	amanda              	17 
344     	amarillo            	2  
345     	amartej             	3  
346     	amaru               	4  
347     	amass               	4  
348     	amateur             	2  
349     	amaz                	10 
350     	amazingli           	1  
351     	ambassador          	47 
352     	ambersag            	1  
353     	ambigu              	1  
354     	ambit               	8  
355     	ambiti              	2  
356     	ambival             	2  
357     	ambul               	11 
358     	ambush              	1  
359     	ameli               	6  
360     	amend               	2  
361     	amerasian           	1  
362     	america             	128
363     	american            	353
364     	americorp           	1  
365     	amh                 	1  
366     	ami                 	2  
367     	amiabl              	2  
368     	amic                	1  
369     	amid                	51 
370     	amidship            	2  
371     	amin                	1  
372     	amit                	1  
373     	amman               	2  
374     	ammo                	1  
375     	ammonium            	1  
376     	ammunit             	22 
377     	amnesia             	2  
378     	amnesti             	2  
379     	amount              	30 
380     	amp                 	5  
381     	amphibi             	3  
382     	ampl                	2  
383     	ampli               	1  
384     	amplifi             	1  
385     	amput               	12 
386     	ana                 	7  
387     	anacostia           	1  
388     	analges             	1  
389     	analog              	1  
390     	analysi             	9  
391     	analyst             	38 
392     	analyz              	5  
393     	anarch              	2  
394     	anathema            	1  
395     	anatoli             	8  
396     	anca                	4  
397     	ancestor            	3  
398     	ancestr             	25 
399     	ancestri            	1  
